keyword,site,search engine,location,groups,language,2017-01-03,2017-01-04,2017-01-05
master's degree in Primary Education,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Professional Science,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Project Management,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Psychology,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Psychology & Counselling,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Pure Mathematics,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Religious Studies,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Research & Study Skills In Education,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Retail Management,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Science,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Secondary Education,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Social Care,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Social Policy,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Social Sciences,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Social Work,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Sociology,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Software Engineering,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Spanish,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Sport & Fitness,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Statistics,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Strategic Management,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Teacher Training,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Technology,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in UK Law,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Youth Studiesphd in Academic Studies In Education,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Accounting,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Adult Nursing,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Applied Mathematics,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Aquatic Sciences,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Archaeology,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Art History,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Arts & Humanities,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Astronomy & Planetary Science,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Biochemistry,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Biology,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Business & Commercial Law,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Business & Management,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Business Studies,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Chemistry,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,45
phd in Childhood & Youth Studies,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Children,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Chinese,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Classical Studies,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Communication Technologies,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Computing & IT,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Counselling,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Creative Writing,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Criminology,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Design,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Development,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Early Years,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Earth Sciences,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Ecology,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Economics,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Education,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Electronic Engineering,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,68
phd in Engineering,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in English Language,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in English Literature,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Environment & Development,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Environmental Management,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Environmental Sciences,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Environmental Studies,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Finance,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,74
phd in French,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in General Computing,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,66
phd in General Design,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in General Education,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in General Engineering,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in General Humanities,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in General Law,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in General Mathematics,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in General Nursing,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in General Social Science,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in General Statistics,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in General Technology,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Genetics,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Geography,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Geology,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in German,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Graphic Design,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Health & Social Care,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Health & Wellbeing,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Health Sciences,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Healthcare Practice,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Heritage,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in History,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Human Anatomy,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Human Computer Interaction,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,34
phd in Humanities,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in International Studies,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Italian,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
