University,Country,rank,inv_rank
Mount Saint Vincent University,Canada,445,0.28059879472589605
State University of New York Empire State College,USA,454,0.28050860401683797
Fielding Institute,USA,108,0.27668698714070766
National University of Singapore,Singapore,836,0.2763209658091516
Northeastern State University,USA,467,0.27605342216691314
Widener University,USA,631,0.2756995452765638
Wheelock College,USA,321,0.2755107406637093
Göteborg University,Sweden,686,0.27542777474553354
Bournemouth University,United Kingdom,545,0.27473590096851785
Eastern New Mexico University,USA,599,0.2745536629293291
University of Teesside,United Kingdom,618,0.27072115095959975
Tennessee Technological University,USA,624,0.2697977145797723
Columbia College of Missouri,USA,555,0.2697359662760223
University of Texas of the Permian Basin,USA,779,0.2685503204644272
Armstrong Atlantic State University,USA,526,0.26621124688246584
Medical University of South Carolina,USA,286,0.26491549773501544
University of Maryland Eastern Shore,USA,385,0.26388151417034034
Santa Clara University,USA,369,0.2628611394388439
Louisiana Tech University,USA,990,0.2609152421773006
Uppsala University,Sweden,1221,0.2603096648464339
Western Illinois University,USA,1108,0.25823773058831334
Eastern Washington University,USA,640,0.2559088488774875
University of Wisconsin - Stevens Point,USA,354,0.25478460406853065
"University of Roma ""La Sapienza""",Italy,492,0.2547482636942
University of Helsinki,Finland,921,0.25392439806137984
"University of California, Merced",USA,526,0.24994534380084252
University of Bergen,Norway,978,0.2499365975483942
University of Montana,USA,898,0.24682113828915525
University of Witwatersrand,South Africa,796,0.24662995860330134
University of Cape Town,South Africa,787,0.24497844266531757
Lincoln Memorial University,USA,226,0.2433775696070778
University of East London,United Kingdom,589,0.2431748311325776
University of Arkansas for Medical Sciences,USA,454,0.24018576755792792
School for International Training,USA,519,0.2382183310908663
Colorado Christian University,USA,448,0.23809506637558808
Ohio University,USA,393,0.23716905454098217
Roger Williams University,USA,721,0.23673945938842572
Philadelphia University,USA,495,0.23671384721555883
Sullivan College,USA,783,0.23183153512218738
Ludwig-Maximilians-Universität München,Germany,1039,0.23131996405632754
Central Washington University,USA,833,0.23068913249045658
Egerton University,Kenya,548,0.22841125665388173
Delft University of Technology,Netherlands,838,0.22807732431859407
Pratt Institute,USA,445,0.22638823243661954
Deakin University,Australia,650,0.22627404586111177
The Chicago School of Professional Psychology,USA,18,0.225
University for Peace,Costa Rica,18,0.225
Evergreen State College,USA,167,0.22469512195121952
Eastern Illinois University,USA,590,0.22304256231765074
University of Baltimore,USA,981,0.2230204880043031
Université de Montréal,Canada,541,0.22102850785513342
Montana Tech,USA,445,0.2199641497127181
Roehampton University of Surrey,United Kingdom,644,0.21963923546519767
Chadron State College,USA,680,0.21892979928226497
Clarkson University,USA,631,0.21698416634414058
Bryant and Stratton College,USA,753,0.21677907743532526
Nazareth College,USA,739,0.2167493937422288
New England School of Art and Design,USA,518,0.21638090654381698
Seattle University,USA,869,0.21413306470737994
West Texas A&M University,USA,752,0.2136734418849213
Wesleyan University,USA,255,0.21319618368619067
University of Texas Health Science Center at San Antonio,USA,853,0.21318833789823505
University of Hull,United Kingdom,458,0.21249114637617755
Metropolitan State University of Denver,USA,678,0.2109658090097669
Dalhousie University,Canada,714,0.21088843739546642
Pacifica Graduate Institute,USA,115,0.21019460415745245
Indiana University at Kokomo,USA,318,0.20977739609318558
University of Alabama - Huntsville,USA,508,0.2088877838748679
University of Arkansas at Little Rock,USA,597,0.20830927968036556
Florida Agricultural and Mechanical University,USA,789,0.20730327930377374
University of Pretoria,South Africa,891,0.2072832871135159
Bentley College,USA,262,0.2066995664182365
"City University of New York, College of Staten Island",USA,258,0.20584322993987703
Alvernia College,USA,789,0.20528242048209397
University of Waikato,New Zealand,525,0.2047418915996802
Hodges University,USA,684,0.20305749972180964
University of Westminster,United Kingdom,648,0.2026635877884226
University of Stellenbosch,South Africa,568,0.20208664976258214
Adler School of Professional Psychology,USA,383,0.20073513514468533
John Wesley College,USA,5,0.2
University of Insubria,Italy,5,0.2
Carlow Institute of Technology,Ireland,593,0.19987859192596677
Sacred Heart University,USA,900,0.19676988238311377
Universität Kaiserslautern,Germany,398,0.19505947993245726
McMaster University,Canada,867,0.19332468285501045
Rollins College,USA,488,0.1927069974294498
Hong Kong Polytechnic University,Hong Kong,560,0.19266464343294373
George Fox University,USA,759,0.1899436357402016
Liverpool Hope University College,United Kingdom,326,0.18976061427280938
Indiana University at South Bend,USA,398,0.1892196964390289
College of William and Mary,USA,714,0.1886105777256106
Dublin Institute of Technology,Ireland,590,0.18794231187740312
Marylhurst University,USA,516,0.1877428966167922
Estonian Business School,Estonia,100,0.18722943722943725
